63,1,1,701,2050,15,1,15,0
63,1,1,969,3671,16,2,17,0
63,1,1,475,6176,9,3,11,0
63,1,1,785,8426,13,4,16,0
63,1,1,1411,18054,14,5,18,0
63,1,1,1062,40029,1,6,6,0
63,1,1,219,41620,2,7,8,0
63,1,2,1531,1432,16,1,16,0
63,1,2,313,3213,10,2,11,0
63,1,2,1033,5916,11,3,13,0
63,1,2,993,8121,8,4,11,0
63,1,2,1134,39425,7,5,11,0
63,1,3,605,3761,2,1,2,0
63,1,3,414,5398,3,2,4,0
63,1,3,950,8116,6,3,8,0
63,1,3,852,9683,5,4,8,0
63,1,3,277,12137,14,5,18,1
63,1,3,1415,14093,15,6,20,1
63,1,3,329,18393,1,7,7,0
63,1,3,455,49806,12,8,19,0
63,1,4,500,1486,15,1,15,0
63,1,4,753,3726,16,2,17,0
63,1,4,843,5368,1,3,3,0
63,1,4,1173,7622,2,4,5,0
63,1,4,46,10047,4,5,8,0
63,1,4,815,29009,11,6,16,0
63,1,5,1261,3252,16,1,16,0
63,1,5,1491,5043,13,2,14,0
63,1,5,409,6610,7,3,9,1
63,1,5,989,8675,8,4,11,1
63,1,5,1044,10676,1,5,5,0
63,1,5,372,16502,2,6,7,0
63,1,5,556,17595,3,7,9,0
63,1,5,1598,31887,6,8,13,1
63,1,5,757,36911,11,9,19,0
63,1,6,380,1671,16,1,16,0
63,1,6,620,3502,14,2,15,0
63,1,6,1052,5203,13,3,15,0
63,1,6,315,6794,3,4,6,1
63,1,6,1596,8840,4,5,8,0
63,1,6,572,10655,11,6,16,0
63,1,6,1294,12541,9,7,15,1
63,1,6,758,14382,12,8,19,1
63,1,6,1254,33758,10,9,18,0
63,1,7,339,1017,16,1,16,0
63,1,7,22,3073,15,2,16,1
63,1,7,188,4924,14,3,16,1
63,1,7,1373,13454,9,4,12,1
63,1,7,1446,16058,10,5,14,0
63,1,7,589,59973,7,6,12,1
63,1,8,1038,1387,16,1,16,0
63,1,8,515,4255,14,2,15,0
63,1,8,1579,5617,15,3,17,1
63,1,8,378,11514,11,4,14,0
63,1,9,132,1392,16,1,16,0
63,1,9,1471,3053,14,2,15,0
63,1,9,1107,5298,1,3,3,1
63,1,9,1193,8785,12,4,15,0
63,1,9,1257,10730,11,5,15,0
